"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Expert Info","Info"
"79","3.695056","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"80","3.695059","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"81","3.695062","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"82","3.695077","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"83","3.695077","192.168.1.151","192.168.1.205","TLSv1.2","97","52803","6690","","Application Data"
"84","3.695077","192.168.1.151","192.168.1.205","TLSv1.2","99","52803","6690","","Application Data"
"85","3.695078","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"86","3.695085","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"87","3.695085","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"88","3.695096","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"89","3.695096","192.168.1.151","192.168.1.205","TLSv1.2","97","52803","6690","","Application Data"
"90","3.695096","192.168.1.151","192.168.1.205","TLSv1.2","100","52803","6690","","Application Data"
"91","3.695107","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"92","3.695107","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"93","3.695107","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"94","3.695108","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"95","3.695114","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"96","3.695114","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"97","3.695118","192.168.1.151","192.168.1.205","TLSv1.2","97","52803","6690","","Application Data"
"98","3.695120","192.168.1.151","192.168.1.205","TLSv1.2","103","52803","6690","","Application Data"
"99","3.695124","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"100","3.695137","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"101","3.695137","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"102","3.695137","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"103","3.695144","192.168.1.151","192.168.1.205","TLSv1.2","97","52803","6690","","Application Data"
"104","3.695144","192.168.1.151","192.168.1.205","TLSv1.2","102","52803","6690","","Application Data"
"105","3.695147","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"106","3.695157","192.168.1.151","192.168.1.205","TLSv1.2","97","52803","6690","","Application Data"
"107","3.695157","192.168.1.151","192.168.1.205","TLSv1.2","127","52803","6690","","Application Data"
"108","3.695166","192.168.1.151","192.168.1.205","TLSv1.2","96","52803","6690","","Application Data"
"109","3.700180","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1160 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"110","3.700181","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1227 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"111","3.701371","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1290 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"112","3.701372","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1384 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"113","3.701373","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1445 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"114","3.701374","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1510 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"115","3.701374","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1607 Win=32256 Len=0 TSval=730073080 TSecr=1225981951"
"116","3.706282","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1702 Win=32256 Len=0 TSval=730073081 TSecr=1225981951"
"117","3.706283","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1762 Win=32256 Len=0 TSval=730073081 TSecr=1225981951"
"118","3.707613","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1854 Win=32256 Len=0 TSval=730073081 TSecr=1225981951"
"119","3.707615","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=1918 Win=32256 Len=0 TSval=730073081 TSecr=1225981951"
"120","3.707616","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2008 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"121","3.707617","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2072 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"122","3.707618","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2162 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"123","3.707619","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2223 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"124","3.707619","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2287 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"125","3.707620","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2347 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"126","3.707620","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2407 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"127","3.707621","192.168.1.205","192.168.1.151","TCP","74","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2468 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"128","3.707621","192.168.1.205","192.168.1.151","TCP","74","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2535 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"129","3.707622","192.168.1.205","192.168.1.151","TCP","74","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2595 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"130","3.707622","192.168.1.205","192.168.1.151","TCP","74","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2656 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"131","3.707623","192.168.1.205","192.168.1.151","TCP","74","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2753 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"132","3.707623","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1482 Ack=2844 Win=32256 Len=0 TSval=730073082 TSecr=1225981951"
"133","3.708204","192.168.1.205","192.168.1.151","TLSv1.2","96","6690","52803","","Application Data"
